,Source,,Relation,,Target
 ● ,G_Alexandria at Egypt, ● ,refers to, ● ,G_Ancient Egypt (region)
 ● ,G_Athenae, ● ,is associated with, ● ,N_The Thirty
 ● ,G_Athenae, ● ,is associated with, ● ,N_Tyrtaeus
 ● ,G_Athenae, ● ,is associated with, ● ,N_Homer
 ● ,G_Athenae, ● ,is friend of, ● ,N_Astydamas
 ● ,G_Athenae, ● ,is adversary of, ● ,N_Meletus
 ● ,G_Athenae, ● ,is associated with, ● ,N_Aeschylus
 ● ,G_Boeotia, ● ,is associated with, ● ,N_Menedemus
 ● ,G_Elis, ● ,is associated with, ● ,G_Skillous
 ● ,G_Hyele, ● ,is associated with, ● ,G_Elea
 ● ,G_Phocaea, ● ,is associated with, ● ,G_Elea
 ● ,G_Phocaean, ● ,is associated with, ● ,G_Elea
 ● ,G_Selinus (river in Elis), ● ,is associated with, ● ,G_Ephesus
 ● ,G_Sparta, ● ,is associated with, ● ,G_Athenae
 ● ,G_Sparta, ● ,is friend of, ● ,N_Xenophon
 ● ,N_A Magician, ● ,traveled to, ● ,G_Athenae
 ● ,N_A Magician, ● ,is adversary of, ● ,N_Socrates
 ● ,N_A Magician, ● ,is from, ● ,G_Syria
 ● ,N_Acron, ● ,is from, ● ,G_Agrigentum
 ● ,N_Acron, ● ,is family of, ● ,N_Acros
 ● ,N_Actis, ● ,is family of, ● ,N_Eudoxus
 ● ,N_Acusilaus, ● ,is from, ● ,G_Argos
 ● ,N_Acusilaus, ● ,is family of, ● ,N_Cabas
 ● ,N_Aenesidemus, ● ,refers to, ● ,N_Pyrrho
 ● ,N_Aeschines, ● ,is associated with, ● ,NF_Xanthippe
 ● ,N_Aeschines, ● ,is family of, ● ,N_Charinus
 ● ,N_Aeschines, ● ,traveled to, ● ,G_Megara (Attica)
 ● ,N_Aeschines, ● ,is associated with, ● ,N_Plato
 ● ,N_Aeschines, ● ,studied the work of, ● ,N_Antishenes
 ● ,N_Aeschines, ● ,is family of, ● ,N_Socrates
 ● ,N_Aeschines, ● ,is family of, ● ,N_Lysanias
 ● ,N_Aeschines, ● ,studied the work of, ● ,N_Gorgias
 ● ,N_Aeschines, ● ,traveled to, ● ,G_Sicily
 ● ,N_Aeschines, ● ,is from, ● ,G_Athenae
 ● ,N_Aeschines, ● ,sent letters to, ● ,N_Dionysius II
 ● ,N_Aeschines, ● ,is associated with, ● ,N_Phaeax
 ● ,N_Aeschines, ● ,is teacher of, ● ,N_Aristotle II
 ● ,N_Aeschines, ● ,is associated with, ● ,N_Father of Phaeax
 ● ,N_Aeschines, ● ,traveled to, ● ,G_Syracuse
 ● ,N_Aeschines, ● ,is associated with, ● ,N_Dion
 ● ,N_Aeschines III, ● ,is associated with, ● ,N_Aeschines V
 ● ,N_Aeschines IV, ● ,is teacher of, ● ,N_Isocrates
 ● ,N_Aeschylus II, ● ,is adversary of, ● ,N_Menedemus
 ● ,N_Aesop, ● ,is associated with, ● ,G_Corinth
 ● ,N_Aethalides, ● ,is family of, ● ,ND_Hermes
 ● ,N_Aethalides, ● ,is associated with, ● ,N_Euphorbus
 ● ,N_Aethiops, ● ,is from, ● ,G_Ptolemais/Barkes Limen
 ● ,N_Agathon, ● ,is associated with, ● ,N_Socrates
 ● ,N_Agesarchus, ● ,is family of, ● ,N_Epimenides
 ● ,N_Agesilaus, ● ,is adversary of, ● ,G_Thebes
 ● ,N_Agesilaus, ● ,traveled to, ● ,G_Hellas
 ● ,N_Agesilaus, ● ,sent letters to, ● ,N_Nectanabis
 ● ,N_Agetor, ● ,is friend of, ● ,N_Asclepiades
 ● ,N_Agetor, ● ,is friend of, ● ,N_Menedemus
 ● ,N_Agetor, ● ,is from, ● ,G_Lamia
 ● ,N_Agrigentines, ● ,is from, ● ,G_Agrigentum
 ● ,N_Agrigentines, ● ,is associated with, ● ,N_Pythagoras
 ● ,N_Agrigentines, ● ,traveled to, ● ,G_Taras/Tarentum/Neptunia
 ● ,N_Alcaeus, ● ,refers to, ● ,N_Aristodemus
 ● ,N_Alcibiades, ● ,traveled to, ● ,G_Potidaea
 ● ,N_Alcibiades, ● ,is friend of, ● ,N_Socrates
 ● ,N_Alcippus, ● ,is associated with, ● ,N_Theophrastus
 ● ,N_Alcippus, ● ,is from, ● ,G_Eresus
 ● ,N_Alcmaeon II, ● ,is from, ● ,G_Crotone
