"","places"
"1","Abdera"
"2","Academy of Plato (Athens)"
"3","Aegina"
"4","Aethiopia"
"5","Aetna M."
"6","Agrigentum"
"7","Alexandria at Egypt"
"8","Alpheios river"
"9","Amphiareion"
"10","Amphipolis"
"11","Ancient Egypt (region)"
"12","Asia"
"13","Assos"
"14","Athenae"
"15","Boeotia"
"16","Borboros"
"17","Borysthenes (Olbia)"
"18","Bosporus"
"19","Calauria"
"20","Caria"
"21","Carthago"
"22","Carystus"
"23","Chalcedon"
"24","Chalcis"
"25","Chios (island)"
"26","Cilicia"
"27","Clazomenae"
"28","Cnidos"
"29","Colophon"
"30","Corinth"
"31","Creta"
"32","Crotone"
"33","Cyprus"
"34","Cyrene"
"35","Cyzicus"
"36","Delium"
"37","Delos"
"38","Delphi"
"39","Elea"
"40","Elis"
"41","Eretria"
"42","Hades (Place)"
"43","Halicarnassus"
"44","Hellas"
"45","Heraclea"
"46","Iasos"
"47","Ida"
"48","India"
"49","Ionia region (Asia Minor)"
"50","Isthmus"
"51","Italy"
"52","Katane"
"53","Kition (Cyprus)"
"54","Kos"
"55","Lampsacus"
"56","Lepreum"
"57","Lesbos"
"58","Lucania"
"59","Lysimachia"
"60","Macedonia"
"61","Mantinea"
"62","Maronea"
"63","Megara (Attica)"
"64","Megara Hyblaea"
"65","Memphis (Egypt)"
"66","Messene"
"67","Metapontum"
"68","Miletus"
"69","Mitylene"
"70","Munichia"
"71","Nestos (river)"
"72","Olympian Zeus sanctuary (Eleia)"
"73","Oropus"
"74","Peloponnesus"
"75","Persia"
"76","Phalerum"
"77","Phlius"
"78","Phoenicia"
"79","Phthia"
"80","Piraeus"
"81","Pitane"
"82","Pontus"
"83","Potidaea"
"84","Propontis"
"85","Red Sea"
"86","Rhodos (island)"
"87","Salamis"
"88","Samos"
"89","Sardis"
"90","Sicily"
"91","Skillous"
"92","Skythai"
"93","Soli"
"94","Sparta"
"95","Stagira"
"96","Syracuse"
"97","Syria"
"98","Syros"
"99","Taras/Tarentum/Neptunia"
"100","Tarsus"
"101","Thebes"
"102","Thurii"
"103","Zancle"
