"","from","to","Relation"
"1","Acron","Acros","is family of"
"2","Actis","Eudoxus","is family of"
"3","Acusilaus","Cabas","is family of"
"4","Aeschines","Lysanias","is family of"
"5","Aeschines","Socrates","is family of"
"6","Aeschines","Charinus","is family of"
"7","Aeschrio","Lysanias II","is family of"
"8","Aethalides","Hermes","is family of"
"9","Agemortus","Hermarchus","is family of"
"10","Agesarchus","Epimenides","is family of"
"11","Alcmaeon II","Pirithous","is family of"
"12","Alyattes","Croesus","is family of"
"13","Ameinias IV","Diochaetas","is family of"
"14","Amyntas","Philip","is family of"
"15","Anacharsis","Gnurus","is family of"
"16","Anaxagoras","Hegesibulus","is family of"
"17","Anaxagoras","Eubulus II","is family of"
"18","Anaximander","Praxiades","is family of"
"19","Anaximenes","Eurystratus","is family of"
"20","Anaximenes II","Anaximenes III","is family of"
"21","Anchitus","Asclepius","is family of"
"22","Androsthenes","Onesicritus","is family of"
"23","Antipater","Aristotle","is family of"
"24","Antisthenes","Antisthenes V","is family of"
"25","Apollodorus X","Archelaus","is family of"
"26","Apollothemis","Diogenes","is family of"
"27","Arcesilaus","Pylades II","is family of"
"28","Arcesilaus","Philetaerus","is family of"
"29","Arcesilaus","Moereas","is family of"
"30","Arcesilaus","Seuthes II","is family of"
"31","Arcesilaus","Thaumasias","is family of"
"32","Arcesilaus II","Strato","is family of"
"33","Archagoras","Theodotus","is family of"
"34","Apollodorus","Archelaus","is family of"
"35","Archelaus","Midon","is family of"
"36","Archytas","Mnesagoras","is family of"
"37","Arieus","Herodotus II","is family of"
"38","Aristagoras","Eudoxus","is family of"
"39","Aristagoras","Chrysippus VI","is family of"
"40","Aristides","Sophroniscus II","is family of"
"41","Aristippus","Arete","is family of"
"42","Aristippus","Son of Aristippus II","is family of"
"43","Aristippus","Aristippus IV","is family of"
"44","Aristippus IV","Arete","is family of"
"45","Aristocrates","Eristheneia","is family of"
"46","Aristodemus","Eristheneia","is family of"
"47","Ariston IV","Miltiades II","is family of"
"48","Ariston V","Codrus","is family of"
"49","Aristotle","Callisthenes","is family of"
"50","Aristotle","Concubine of Hermias","is family of"
"51","Aristotle","Hermias","is family of"
"52","Aristoxenus","Spintharus","is family of"
"53","Asclepiades","Wife of Asclepiades","is family of"
"54","Ascondas","Crates II","is family of"
"55","Astyanax II","Lyco","is family of"
"56","Athenaeus III","Metrodorus","is family of"
"57","Athenodorus IV","Polyaenus","is family of"
"58","Baton","Menippus","is family of"
"59","Anacharsis","Caduidas","is family of"
"60","Callaeschrus","Critias","is family of"
"61","Carneades","Philocomus","is family of"
"62","Carneades","Epicomus","is family of"
"63","Chabrinus","Lasos","is family of"
"64","Chaeredemus","Epicurus","is family of"
"65","Charmandrides","Charmandrus","is family of"
"66","Charmantides","Lasos","is family of"
"67","Apollonius III","Chrysippus","is family of"
"68","Chrysippus VI","Erineus","is family of"
"69","Cleanthes","Phanias II","is family of"
"70","Cleonymus","Euthyphro IV","is family of"
"71","Clisthenes","Menedemus","is family of"
"72","Codrus","Pisistratus","is family of"
"73","Codrus","Poseidon","is family of"
"74","Codrus","Melanthus","is family of"
"75","Antigenes","Crates","is family of"
"76","Crates II","Hipparchia","is family of"
"77","Creophylus","Hermodamas","is family of"
"78","Callaeschrus","Critias II","is family of"
"79","Crito","Epigenes","is family of"
"80","Crito","Hermogenes II","is family of"
"81","Crito","Critobulus","is family of"
"82","Crito","Ctesippus","is family of"
"83","Critobulus","Epigenes","is family of"
"84","Critobulus","Hermogenes II","is family of"
"85","Critobulus","Ctesippus","is family of"
"86","Cybisthus","Thales","is family of"
"87","Cypselus","Periander","is family of"
"88","Cypselus II","Periander","is family of"
"89","Cypselus II","Lysida","is family of"
"90","Chilon","Damagetas","is family of"
"91","Damasus","Democritus","is family of"
"92","Damo","Theano","is family of"
"93","Damo","Pythagoras","is family of"
"94","Darius","Hystaspes","is family of"
"95","Delphis","Eudoxus","is family of"
