"","Name","Groups","Group"
"1","Lyceum (Athens)","Place","Place"
"2","Abdera","Place","Place"
"3","Academy of Plato (Athens)","Place","Place"
"4","Achileis","Place","Place"
"5","Adramyttium","Place","Place"
"6","Aegina","Place","Place"
"7","Aegospotami","Place","Place"
"8","Aenus","Place","Place"
"9","Aeolis","Place","Place"
"10","Aethiopia","Place","Place"
"11","Aetna M.","Place","Place"
"12","Agrigentum","Place","Place"
"13","Akkon","Place","Place"
"14","Alexandria at Egypt","Place","Place"
"15","Alpheios river","Place","Place"
"16","Amastris","Place","Place"
"17","Ambracia","Place","Place"
"18","Amphiareion","Place","Place"
"19","Amphipolis","Place","Place"
"20","Ancient Egypt (region)","Place","Place"
"21","Apollonia Pontica","Place","Place"
"22","Apulia","Place","Place"
"23","Arabia","Place","Place"
"24","Arcadia","Place","Place"
"25","Areiopagos (Athens)","Place","Place"
"26","Argos","Place","Place"
"27","Arkadia region","Place","Place"
"28","Asia","Place","Place"
"29","Aspendos/Primoupolis","Place","Place"
"30","Assos","Place","Place"
"31","Astypalaea","Place","Place"
"32","Atarneus","Place","Place"
"33","Athenae","Place","Place"
"34","Attica","Place","Place"
"35","Babylon","Place","Place"
"36","Bargylia","Place","Place"
"37","Bithynia","Place","Place"
"38","Boeotia","Place","Place"
"39","Borboros","Place","Place"
"40","Borysthenes (Olbia)","Place","Place"
"41","Bosphorus","Place","Place"
"42","Bosporus","Place","Place"
"43","Byzantium","Place","Place"
"44","Calauria","Place","Place"
"45","Callatia","Place","Place"
"46","Callatis","Place","Place"
"47","Cappadocia","Place","Place"
"48","Caria","Place","Place"
"49","Carthago","Place","Place"
"50","Carystus","Place","Place"
"51","Ceos","Place","Place"
"52","Cephisus (River)","Place","Place"
"53","Chalcedon","Place","Place"
"54","Chalcidice","Place","Place"
"55","Chalcis","Place","Place"
"56","Chaldaea","Place","Place"
"57","Chenai","Place","Place"
"58","Chios (island)","Place","Place"
"59","Cilicia","Place","Place"
"60","Clazomenae","Place","Place"
"61","Cnidos","Place","Place"
"62","Cnidus","Place","Place"
"63","Cnossos","Place","Place"
"64","Colchis","Place","Place"
"65","Colonus","Place","Place"
"66","Colophon","Place","Place"
"67","Corcyra","Place","Place"
"68","Corcyrian Cave","Place","Place"
"69","Corinth","Place","Place"
"70","Cranon","Place","Place"
"71","Creta","Place","Place"
"72","Croto","Place","Place"
"73","Crotone","Place","Place"
"74","Cyme","Place","Place"
"75","Cyprus","Place","Place"
"76","Cyrenaica","Place","Place"
"77","Cyrene","Place","Place"
"78","Cythera","Place","Place"
"79","Cyzicus","Place","Place"
"80","Dardanus","Place","Place"
"81","Delium","Place","Place"
"82","Delos","Place","Place"
"83","Delphi","Place","Place"
"84","Demetrias (Magnesia)","Place","Place"
"85","Didyma/Branchidai/Ioustinianopolis","Place","Place"
"86","Dionysia","Place","Place"
"87","Doris","Place","Place"
"88","Elea","Place","Place"
"89","Eleusis in Attica","Place","Place"
"90","Elis","Place","Place"
"91","Ephesus","Place","Place"
"92","Epidaurus","Place","Place"
"93","Eresus","Place","Place"
"94","Eretria","Place","Place"
"95","Erythrae","Place","Place"
"96","Etis","Place","Place"
"97","Euboea","Place","Place"
"98","Europe region","Place","Place"
"99","Gaul","Place","Place"
"100","Gela","Place","Place"
"101","Hades (Place)","Place","Place"
"102","Halicarnassus","Place","Place"
"103","Halys","Place","Place"
"104","Helice","Place","Place"
"105","Heliopolis","Place","Place"
"106","Hellas","Place","Place"
"107","Hellespont","Place","Place"
"108","Heraclea","Place","Place"
"109","Hermion(e)","Place","Place"
"110","Hyba","Place","Place"
"111","Hybadai","Place","Place"
"112","Hyele","Place","Place"
"113","Iasos","Place","Place"
"114","Ida","Place","Place"
"115","Ilissus","Place","Place"
"116","Ilium","Place","Place"
"117","Ilium/Troia","Place","Place"
"118","India","Place","Place"
"119","Ionia region (Asia Minor)","Place","Place"
"120","Isthmus","Place","Place"
"121","Italy","Place","Place"
"122","Kassandreia","Place","Place"
"123","Katane","Place","Place"
"124","Kition (Cyprus)","Place","Place"
"125","Kos","Place","Place"
"126","Lacedaemon","Place","Place"
"127","Lacedaemon/Laconia","Place","Place"
"128","Lamia","Place","Place"
"129","Lampsacus","Place","Place"
"130","Laodicea","Place","Place"
"131","Larissa (Thessaly)","Place","Place"
"132","Lebedos/Ptolemais","Place","Place"
"133","Lemnos","Place","Place"
"134","Lenaea","Place","Place"
"135","Leontini","Place","Place"
"136","Lepreum","Place","Place"
"137","Leros","Place","Place"
"138","Lesbos","Place","Place"
"139","Libya","Place","Place"
"140","Liguria","Place","Place"
"141","Lindus","Place","Place"
"142","Lipara","Place","Place"
"143","Locris","Place","Place"
"144","Lucania","Place","Place"
"145","Lycus","Place","Place"
"146","Lydia","Place","Place"
"147","Lysimachia","Place","Place"
"148","Macedon","Place","Place"
"149","Macedonia","Place","Place"
"150","Magnesia","Place","Place"
"151","Mantinea","Place","Place"
"152","Marathon","Place","Place"
"153","Maronea","Place","Place"
"154","Maroneia","Place","Place"
"155","Media","Place","Place"
"156","Megalopolis","Place","Place"
"157","Megara (Attica)","Place","Place"
"158","Megara Hyblaea","Place","Place"
"159","Melos","Place","Place"
"160","Memphis (Egypt)","Place","Place"
"161","Mende","Place","Place"
"162","Messene","Place","Place"
"163","Messenia","Place","Place"
"164","Metapontum","Place","Place"
"165","Miletus","Place","Place"
"166","Mitylene","Place","Place"
"167","Mt. Oita","Place","Place"
"168","Munichia","Place","Place"
"169","Myndus","Place","Place"
"170","Myra","Place","Place"
"171","Myrlea","Place","Place"
"172","Nemea","Place","Place"
"173","Nestos (river)","Place","Place"
"174","Nicaea","Place","Place"
"175","Nicomedia","Place","Place"
"176","Nile","Place","Place"
"177","Odrysians tribe","Place","Place"
"178","Olympia","Place","Place"
"179","Olympian Zeus sanctuary (Eleia)","Place","Place"
"180","Olynthus","Place","Place"
"181","Opus","Place","Place"
"182","Orchomenus","Place","Place"
"183","Oropus","Place","Place"
"184","Paeonia","Place","Place"
"185","Paros","Place","Place"
"186","Peiraeus","Place","Place"
"187","Peloponnesus","Place","Place"
"188","Perga","Place","Place"
"189","Pergamum","Place","Place"
"190","Perinthus","Place","Place"
"191","Persia","Place","Place"
"192","Phalerum","Place","Place"
"193","Pharsalus","Place","Place"
"194","Phlius","Place","Place"
"195","Phocaea","Place","Place"
"196","Phocaean","Place","Place"
"197","Phoenicia","Place","Place"
"198","Phrygia region","Place","Place"
"199","Phthia","Place","Place"
"200","Piraeus","Place","Place"
"201","Pisa","Place","Place"
"202","Pitane","Place","Place"
"203","Pitthos","Place","Place"
"204","Pontus","Place","Place"
"205","Potidaea","Place","Place"
"206","Priene","Place","Place"
"207","Propontis","Place","Place"
"208","Prytaneum","Place","Place"
"209","Ptolemais/Barkes Limen","Place","Place"
"210","Red Sea","Place","Place"
"211","Rhegium","Place","Place"
"212","Rhodos (island)","Place","Place"
"213","Rome","Place","Place"
"214","Salamis","Place","Place"
"215","Salento","Place","Place"
"216","Samos","Place","Place"
"217","Samothrace","Place","Place"
"218","Sardis","Place","Place"
"219","Scepsis","Place","Place"
"220","Seleucia","Place","Place"
"221","Selinus","Place","Place"
"222","Selinus (river in Elis)","Place","Place"
"223","Sicily","Place","Place"
"224","Sicyon","Place","Place"
"225","Sidon","Place","Place"
"226","Sinope","Place","Place"
"227","Skillous","Place","Place"
