Source,Target,Relation
Alexandria at Egypt,Ancient Egypt (region),refers to
Athenae,Homer,is associated with
Athenae,Aeschylus,is associated with
Athenae,Tyrtaeus,is associated with
Athenae,Astydamas,is benefactor of
Athenae,The Thirty,is associated with
Athenae,Meletus,is adversary of
Boeotia,Menedemus,is associated with
Elis,Skillous,is associated with
Hyele,Elea,is associated with
Phocaea,Elea,is associated with
Phocaean,Elea,is associated with
Selinus (river in Elis),Ephesus,is associated with
Sparta,Xenophon,is benefactor of
Sparta,Athenae,is associated with
A Magician,Athenae,traveled to
A Magician,Syria,is from
A Magician,Socrates,is adversary of
Achacus,Menippus,refers to
Acron,Agrigentum,is from
Acron,Acros,is family of
Actis,Eudoxus,is family of
Acusilaus,Argos,is from
Acusilaus,Cabas,is family of
Aenesidemus,Pyrrho,refers to
Aenesidemus,Zeuxippus,is teacher of
Aeschines,Xanthippe,is associated with
Aeschines,Dion,is associated with
Aeschines,Sicily,traveled to
Aeschines,Lysanias,is family of
Aeschines,Syracuse,traveled to
Aeschines,Athenae,is from
Aeschines,Dionysius II,sent letters to
Aeschines,Socrates,is family of
Aeschines,Charinus,is family of
Aeschines,Phaeax,is associated with
Aeschines,Aristotle II,is teacher of
Aeschines,Megara (Attica),traveled to
Aeschines,Plato,is associated with
Aeschines,Antishenes,studied the work of
Aeschines,Father of Phaeax,is associated with
Aeschines,Gorgias,studied the work of
Aeschines III,Aeschines V,is associated with
Aeschines IV,Isocrates,is teacher of
Aeschrio,Lysanias II,is family of
Aeschylus II,Menedemus,is adversary of
Aesop,Corinth,is associated with
Aethalides,Hermes,is family of
Aethalides,Euphorbus,is associated with
Aethiops,Ptolemais/Barkes Limen,is from
Agathon,Socrates,is associated with
Agemortus,Hermarchus,is family of
Agesarchus,Epimenides,is family of
Agesilaus,Hellas,traveled to
Agesilaus,Nectanabis,sent letters to
Agesilaus,Thebes,is adversary of
Agesilaus,Sparta,is from
Agetor,Lamia,is from
Agetor,Asclepiades,is friend of
Agetor,Menedemus,is friend of
Agrigentines,Pythagoras,is associated with
Agrigentines,Agrigentum,is from
Agrigentines,Taras/Tarentum/Neptunia,traveled to
Alcaeus,Aristodemus,refers to
Alcibiades,Socrates,is friend of
Alcibiades,Potidaea,traveled to
Alcibiades,Athenae,is from
Alcimus II,Epicharmus,refers to
Alcimus II,Plato,refers to
Alcippus,Theophrastus,is associated with
Alcippus,Eresus,is from
Alcmaeon II,Brontinus,is associated with
Alcmaeon II,Bathyllus,is associated with
Alcmaeon II,Leon V,is associated with
Alcmaeon II,Crotone,is from
Alcmaeon II,Pirithous,is family of
Alexamenus,Teos,is from
Alexamenus,Styra,is from
Alexander,Xenocrates,refers to
Alexander,Pythagoras,refers to
Alexander,Diogenes II,refers to
Alexander,Crates II,is associated with
Alexander,Babylon,traveled to
Alexander,Antipater II,sent letters to
