"A Magician",Syria
"Aeschines",Athenae
"Agesilaus",Sparta
"Agrigentines",Agrigentum
"Alcibiades",Athenae
"Alexander",character(0)
"Alexinus",Elis
"Anacharsis",Skythai
"Anaxagoras",Clazomenae
"Anaxarchus",Abdera
"Antigonus",Carystus
"Antigonus III",Macedonia
"Anytus",Athenae
"Arcesilaus",c("Pitane", "Aeolis")
"Archelaus",c("Miletus", "Athenae")
"Archippus",character(0)
"Archytas",Taras/Tarentum/Neptunia
"Aristippus",Cyrene
"Aristotle",Stagira
"Asclepiades",Phlius
"Autolycus",Pitane
"Bion",Borysthenes (Olbia)
"Carcinus",Athenae
"Cephisodorus",Athenae
"Chilon",Lacedaemon/Laconia
"Chrysippus",c("Tarsus", "Soli")
"Cleanthes",Assos
"Clitomachus",Carthago
"Crantor",Soli
"Crates II",Thebes
"Crates XII",character(0)
"Demetrius",c("Phalerum", "Magnesia")
"Demetrius XXVIII",Macedonia
"Democritus",Abdera
"Demosthenes",Athenae
"Diodorus",Iasos
"Diodorus V",Athenae
"Diogenes II",Sinope
"Dion",Syracuse
"Empedocles",c("Sicily", "Agrigentum")
"Epaminondas",Thebes
"Epicharmus",Kos
"Epicurus",Samos
"Epimenides",c("Creta", "Cnossos")
"Eudoxus",Cnidos
"Eudoxus III",Sicily
"Euripides",character(0)
"Eurytus",Taras/Tarentum/Neptunia
"Gryllus II",Athenae
"Hegesilaus",character(0)
"Heraclides",c("Heraclea", "Pontus")
"Hermotimus",character(0)
"Hesiod",character(0)
"Hierocles",Caria
"Hippocrates II",character(0)
"Homer",character(0)
"Lycophron",character(0)
"Lysis II",Taras/Tarentum/Neptunia
"Menedemus",Eretria
"Menippus",c("Sinope", "Phoenicia")
"Metrocles",c("Maronea", "Maroneia")
"Nileos",Phoenicia
"Pherecydes",Syros
"Philolaus",Crotone
"Plato",c("Athenae", "Aegina")
"Pollis",Lacedaemon/Laconia
"Protagoras",Abdera
"Proxenus",Boeotia
"Pylades II",Pitane
"Pyrrho",Elis
"Pythagoras",Samos
"Socrates",Athenae
"Solon",Salamis
"Speusippus",Athenae
"Sphaerus",Bosporus
"Stilpo",Megara (Attica)
"Thales",c("Phoenicia", "Miletus")
"Theodorus",Cyrene
"Theodotas",character(0)
"Theomedon",Cnidos
"Timon",Phlius
"Xenocrates",Chalcedon
"Xenophanes",Colophon
"Xenophon",Athenae
"Zeno",Elea
"Zeno II",c("Kition (Cyprus)", "Phoenicia", "Cyprus")
"Axiothea",Phlius
"Lastheneia",Mantinea
"Philesia",Athenae
