lat,lon,name
38.192251,15.556634,Zancle
40.9,11.5,Tyrrhenian Sea
33.271624,35.198329,Tyre
37.496395,23.362444,Troezen
39.915,26.27,Troas
32.775458,35.542011,Tiberias
39.715766,16.491255,Thurii
42.5,27.5,Thrace
38.319236,23.317355,Thebes
40.777626,24.703702,Thasos
38.177262,26.785014,Teos (Ionia)
38.671912,27.196998,Temnus
36.920059,34.900117,Tarsus
40.469229,17.240045,Taras/Tarentum/Neptunia
37.43,24.92,Syros
38.295542,20.592532,Syria
37.05963,15.29382,Syracuse
40.593031,23.79204,Stagira
38.5984593,25.71077449,Sporades
37.073678,22.430937,Sparta
35.136687,32.814175,Soli
38.463574,27.166791,Smyrna
47.5,27.5,Skythai
37.75,21.75,Skillous
33.560413,35.375272,Sidon
37.980475,22.722718,Sicyon
37.59995833,14.01537778,Sicily
37.58406,12.8249,Selinus
39.82554,26.688003,Scepsis
38.488314,28.040286,Sardis
40.453,25.582,Samothrace
37.73,26.84,Samos
37.94874,23.53379,Salamis
41.891775,12.486137,Rome
36.195597,27.964125,Rhodos (island)
38.109279,15.64393,Rhegium
19,39.5,Red Sea
40.6666672,28.2499999,Propontis
37.66,27.298333,Priene
40.5,36.5,Pontus
38.0006,23.9006,Pitthos
38.928297,26.937453,Pitane
37.639535,21.653041,Pisa
37.938183,23.645456,Piraeus
39.25,22.25,Phthia
40.25,27.75,Phrygia region
33.25,35.25,Phoenicia
43.305832,3.473132,Phocaean
38.670353,26.753208,Phocaea
37.831664,22.641069,Phlius
39.292233,22.386103,Pharsalus
37.937309,23.706248,Phalerum
34.5,46.5,Persia
39.129049,27.185694,Pergamum
37.54,22.15,Peloponnesus
37.08579,25.150728,Paros
38.319486,23.793064,Oropus
38.49101,22.977336,Orchomenus
40.292595,23.342665,Olynthus
37.63794,21.63042,Olympian Zeus sanctuary (Eleia)
42.5,26.5,Odrysians tribe
29.7497813,31.2705999,Nile
41.5,23.5,Nestos (river)
37.75,22.75,Nemea
40.375556,28.882868,Myrlea
36.259692,29.9829,Myra
37.073691,27.242415,Myndus
37.875,23.625,Munichia
39.110475,26.547048,Mitylene
37.531526,27.279561,Miletus
40.383868,16.824063,Metapontum
37.25,21.75,Messenia
37.183107,21.922941,Messene
39.971454,23.39806,Mende
29.849491,31.255061,Memphis (Egypt)
37.203717,15.181777,Megara Hyblaea
