Source,Target,Relation
Socrates,Archelaus II,is adversary of
Hippasus,Pythagoras,is adversary of
Bion,Antigonus III,is adversary of
Socrates,Eurylochus,is adversary of
Plato,Democritus,is adversary of
Thucydides,Pericles,is adversary of
Hieronymus,Arcesilaus,is adversary of
Empedocles,Acron,is adversary of
The Thirty,Socrates,is adversary of
Ephesians,Hermodorus,is adversary of
Socrates,Scopas,is adversary of
Xenophon,Thebes,is adversary of
Demophilus,Aristotle,is adversary of
Phrynon,Pittacus,is adversary of
Zeno,Nearchus,is adversary of
Meno,Xenophon,is adversary of
Meletus,Socrates,is adversary of
Bion,Philonides,is adversary of
Persaeus,Ariston IV,is adversary of
Callisthenes,Alexander,is adversary of
Hesiod,Cercops,is adversary of
Xenocrates,Aristotle,is adversary of
Theodorus,Euryclides,is adversary of
Pythagoras,Polycrates,is adversary of
Ariston IV,Arcesilaus,is adversary of
Syracusans,Pythagoras,is adversary of
Pyrrho,Cotys,is adversary of
Empedocles,Athenians,is adversary of
Croesus,Thales,is adversary of
Xenophanes,Epimenides,is adversary of
Eurymedon,Aristotle,is adversary of
Xenophanes,Hesiod,is adversary of
Hieronymus,Lyco,is adversary of
Xenophanes,Thales,is adversary of
Pyrrho,Sophists,is adversary of
A Magician,Socrates,is adversary of
Solon,Thespis,is adversary of
Anaxagoras,Democritus,is adversary of
Homer,Syagrus,is adversary of
Pythodorus,Protagoras,is adversary of
Cleon,Anaxagoras,is adversary of
Critias,Leon II,is adversary of
Anaximander,Empedocles,is adversary of
Hermolaus,Alexander,is adversary of
Eubulus V,Xenophon,is adversary of
Euathlus,Protagoras,is adversary of
Athenae,Meletus,is adversary of
Antilochus,Socrates,is adversary of
Bion,Persaeus,is adversary of
Agesilaus,Thebes,is adversary of
Theocritus,Aristotle,is adversary of
Suitors of Penelope,Penelope,is adversary of
Timaeus,Selinuntines,is adversary of
Heraclitus,Athenians,is adversary of
Aristophanes,Socrates,is adversary of
Athenians,Protagoras,is adversary of
Cassius,Zeno II,is adversary of
Lycon,Socrates,is adversary of
Sositheus,Cleanthes,is adversary of
Aristippus,Simus,is adversary of
Arcesilaus,Hemon,is adversary of
Socrates,Critias,is adversary of
Aeschylus II,Menedemus,is adversary of
Heraclides,Persaeus,is adversary of
Isidorus,Zeno II,is adversary of
Demetrius,Antigonus III,is adversary of
Hermias,Eubulus III,is adversary of
Dionysius,Plato,is adversary of
Cleon,Demetrius,is adversary of
Xenophanes,Homer,is adversary of
Cylon,Pythagoras,is adversary of
Cratinus,Pythagoras,is adversary of
Arcesilaus,Cleanthes,is adversary of
Aristotle,Anaximenes II,is adversary of
Demochares,Zeno II,is adversary of
Anaxarchus,Nicocreon,is adversary of
Alyattes,Bias,is adversary of
Athenians,Diogenes,is adversary of
Anytus,Socrates,is adversary of
Dionysius IV,Heraclides,is associated with
Conon,Demetrius,is associated with
Philip,Aristotle,is associated with
Aeschines,Phaeax,is associated with
Cephisodorus,Hegesilaus,is associated with
Theodorus,Mithras,is associated with
Romans,Pythagoras,is associated with
Bion,Chalcis,is associated with
Lacademonian,Lacedaemon/Laconia,is associated with
Phaedo,Alcibiades,is associated with
Socrates,Euthyphro,is associated with
Clinias,Plato,is associated with
Clinias,Pythagoreans,is associated with
Olympius,Aristotle,is associated with
Elis,Skillous,is associated with
Demetrius,Ptolemy,is associated with
Aesop,Corinth,is associated with
Apollo,Delos,is associated with
Lysippus,Athenae,is associated with
Myrmex,Nicanor,is associated with
Thales,Ionia region (Asia Minor),is associated with
Pyrrhaeus,Aristotle,is associated with
Cephisodorus,Gryllus II,is associated with
Democritus IV,Samothrace,is associated with
Socratides,Crates,is associated with
Amyclas,Plato,is associated with
Amasis,Pythagoras,is associated with
Nicanor,Nicomachus II,is associated with
Patroclus,Pyrrho,is associated with
Charondas,Aristippus,is associated with
Socrates,Glaucon II,is associated with
Plato,Pythagoras,is associated with
Croesus,Solon,is associated with
Crates,Nicostratus,is associated with
Aristocles III,Zeno II,is associated with
Pythagoras,Magi,is associated with
Athenae,Aeschylus,is associated with
Alcmaeon II,Leon V,is associated with
Socratides,Arcesilaus,is associated with
Pythian Priestess,Chaerephon,is associated with
Hegesinus,Evander,is associated with
Parmenides,Ameinias IV,is associated with
Homer,Pyrrhoneans,is associated with
Orestades,Pythagoreans,is associated with
Polemo,Ariston IV,is associated with
Democritus,Gymnosophists,is associated with
Pythagoras,Aethalides,is associated with
Anytus,Aristophanes,is associated with
Aeschines,Xanthippe,is associated with
Polydora,Penelope,is associated with
Theophrastus,Hipparchus,is associated with
Speusippus,Diogenes II,is associated with
Menedemus,Alexinius,is associated with
Polemo,Nicostratus,is associated with
Artemon,Thurii,is associated with
Agathon,Socrates,is associated with
Arcesilaus,Halcyoneus,is associated with
Selinuntines,Empedocles,is associated with
Pyrrho,Homer,is associated with
Xenocrates,Speusippus,is associated with
Pythagoreans,Pythagoras,is associated with
Parmeniscus,Pythagoras,is associated with
Tycho,Aristotle,is associated with
Aethalides,Euphorbus,is associated with
Amyclas,Pythagoreans,is associated with
Parmeniscus,Pythagoreans,is associated with
Anaxagoras,Xenophanes,is associated with
Xenophilus,Thracian,is associated with
Plato,Dionysius II,is associated with
Aristotle,Theophrastus,is associated with
Aeschines,Dion,is associated with
