Name,Groups
Abdera,Place
Academy,Place
Achileis,Place
Aegina,Place
Aegospotami,Place
Aeolis,Place
Aethiopia,Place
Agrigentum,Place
Alexandria,Place
Alpheus,Place
Amastris,Place
Ambracia,Place
Amphipolis,Place
Apollonia,Place
Apulia,Place
Arcadia,Place
Areopagus,Place
Argos,Place
Asia,Place
Assos,Place
Atarneus,Place
Athens,Place
Attica,Place
Babylon,Place
Bithynia,Place
Boeotia,Place
Borborus,Place
Borysthenes,Place
Bosphorus,Place
Bosporus,Place
Brachidae,Place
Byzantium,Place
Calauria,Place
Callatia,Place
Carthage,Place
Carystus,Place
Casandrea,Place
Catana,Place
Ceos,Place
Chalcedon,Place
Chalcidice,Place
Chalcis,Place
Chen,Place
Chios,Place
Cilicia,Place
Citium,Place
Clazomenae,Place
Cnidos,Place
Cnidus,Place
Cnossos,Place
Colchis,Place
Colophon,Place
Corcyra,Place
Corinth,Place
Cos,Place
Cranon,Place
Crete,Place
Croto,Place
Croton,Place
Cyme,Place
Cyprus,Place
Cyrenaica,Place
Cyrene,Place
Cythera,Place
Cyzicus,Place
Dardanus,Place
Delium,Place
Delos,Place
Delphi,Place
Demetrias,Place
Didyma,Place
Dionysia,Place
Doris,Place
Egypt,Place
Elea,Place
Eleusis_geo,Place
Elis,Place
Ephesus,Place
Epidaurus,Place
Eresus,Place
Eretria,Place
Etis,Place
Etna,Place
Gela,Place
Greece,Place
Hades,Place
Halicarnassus,Place
Halys,Place
Heliopolis,Place
Hellas,Place
Heraclea,Place
Hermione,Place
Hyba,Place
Hyele,Place
Ida,Place
Ilium,Place
India,Place
Ionia,Place
Isthmus,Place
Italy,Place
Lacedaemon,Place
Laconia,Place
Lamia,Place
Lampsacus,Place
Larissa,Place
Lebedus,Place
Lemnos,Place
Lenaea,Place
Leontini,Place
Lepreum,Place
Leros,Place
Lesbos,Place
Libya,Place
Lindus,Place
Lucania,Place
Lyceum,Place
Lydia,Place
Lysimachia,Place
Macedon,Place
Macedonia,Place
Magnesia,Place
Mantinea,Place
Marathon,Place
Mausolus,Place
Media,Place
Megara,Place
Memphis,Place
Mende,Place
Messene,Place
Messenia,Place
Metapontum,Place
Miletus,Place
Milo,Place
Mitylene,Place
Mount Corycus,Place
Munichia,Place
Myndus,Place
Myra,Place
Nemea,Place
Nessus,Place
Nile,Place
Odrysia,Place
Oeta,Place
Olympia,Place
Olynthus,Place
Orchomenus,Place
Oropus,Place
Orthomenes,Place
Paros,Place
Peiraeus,Place
Peloponnesus,Place
Pergamum,Place
Persia,Place
Phalerum,Place
Pharsalus,Place
Phlius,Place
Phocaea,Place
Phocaean,Place
Phoenicia,Place
Phrygia,Place
Phthia,Place
Piraeus,Place
Pisa,Place
Pitane,Place
Pontus,Place
Potidaea,Place
Priene,Place
Propontis,Place
Prytaneum,Place
Ptolemais,Place
Ptolemas,Place
Red Sea,Place
Rhegium,Place
Rhodes,Place
Rome,Place
Salamis,Place
Salento,Place
Samos,Place
Samothrace,Place
Sardis,Place
Scillus,Place
Scythia,Place
Selinus,Place
Shrine of Amphiaraus,Place
Sicily,Place
Sicyon,Place
Sidon,Place
Smyrna,Place
Soli,Place
Sparta,Place
Sporades,Place
Stagira,Place
Syracuse,Place
Syria,Place
Syros,Place
Tarentum,Place
Tarsus,Place
Teos,Place
Thasos,Place
Thebes,Place
Thrace,Place
Thurii,Place
Tiberias,Place
Tralles,Place
Troas,Place
Troezen,Place
Troy,Place
Tyre,Place
Tyrrhenian Sea,Place
Zancle,Place
A Magician,Male
Achaeus,Male
Acron,Male
Acros,Male
Actis,Male
Acusilaus,Male
Aenesidemus,Male
Aeschines,Male
Aeschines II,Male
Aeschines III,Male
Aeschines IV,Male
Aeschines V,Male
Aeschines VI,Male
Aeschines VII,Male
Aeschines VIII,Male
Aeschylus,Male
Aeschylus II,Male
Aesop,Male
Aethalides,Male
Aethiops,Male
Agamemnon,Male
