"","source","target","name","lat_source","lon_source","lat_target","lon_target"
"1","Syria","Athenae","A Magician","38.295542","20.592532","37.971687","23.726464"
"2","Athenae","Sicily","Aeschines","37.971687","23.726464","37.59995833","14.01537778"
"3","Athenae","Syracuse","Aeschines","37.971687","23.726464","37.05963","15.29382"
"4","Athenae","Megara (Attica)","Aeschines","37.971687","23.726464","37.99471","23.34324"
"5","Sparta","Hellas","Agesilaus","37.073678","22.430937","37.5","22.5"
"6","Agrigentum","Taras/Tarentum/Neptunia","Agrigentines","37.289646","13.591997","40.469229","17.240045"
"7","Athenae","Potidaea","Alcibiades","37.971687","23.726464","40.193696","23.327812"
"8","Elis","Olympian Zeus sanctuary (Eleia)","Alexinus","37.891781","21.375091","37.63794","21.63042"
"9","Skythai","Sardis","Anacharsis","47.5","27.5","38.488314","28.040286"
"10","Skythai","Athenae","Anacharsis","47.5","27.5","37.971687","23.726464"
"11","Clazomenae","Halicarnassus","Anaxagoras","38.3614","26.7703","37.032062","27.429126"
"12","Clazomenae","Lampsacus","Anaxagoras","38.3614","26.7703","40.346685","26.699162"
"13","Clazomenae","Athenae","Anaxagoras","38.3614","26.7703","37.971687","23.726464"
"14","Clazomenae","Ionia region (Asia Minor)","Anaxagoras","38.3614","26.7703","37.474596","27.508324"
"15","Clazomenae","Olympian Zeus sanctuary (Eleia)","Anaxagoras","38.3614","26.7703","37.63794","21.63042"
"16","Abdera","Cyprus","Anaxarchus","40.95","24.983333","35.14052197","33.40349071"
"17","Carystus","Lysimachia","Antigonus","38.016541","24.420381","38.535856","21.336882"
"18","Macedonia","Athenae","Antigonus III","41.25","21.75","37.971687","23.726464"
"19","Athenae","Heraclea","Anytus","37.971687","23.726464","40.213021","16.678299"
"20","Pitane","Athenae","Arcesilaus","38.928297","26.937453","37.971687","23.726464"
"21","Pitane","Sardis","Arcesilaus","38.928297","26.937453","38.488314","28.040286"
"22","Miletus","Samos","Archelaus","37.531526","27.279561","37.73","26.84"
"23","Taras/Tarentum/Neptunia","Lucania","Archytas","40.469229","17.240045","40.75","15.75"
"24","Cyrene","Megara (Attica)","Aristippus","32.8180895","21.8578913","37.99471","23.34324"
"25","Cyrene","Asia","Aristippus","32.8180895","21.8578913","38.00339058","28.583242"
"26","Cyrene","Corinth","Aristippus","32.8180895","21.8578913","37.906045","22.878721"
"27","Cyrene","Athenae","Aristippus","32.8180895","21.8578913","37.971687","23.726464"
"28","Stagira","Academy of Plato (Athens)","Aristotle","40.593031","23.79204","37.971421","23.726166"
"29","Stagira","Athenae","Aristotle","40.593031","23.79204","37.971687","23.726464"
"30","Stagira","Chalcis","Aristotle","40.593031","23.79204","38.457139","23.621937"
"31","Stagira","Borboros","Aristotle","40.593031","23.79204","40.75","22.75"
"32","Stagira","Mitylene","Aristotle","40.593031","23.79204","39.110475","26.547048"
"33","Stagira","Macedonia","Aristotle","40.593031","23.79204","41.25","21.75"
