"","name","from","to"
"1","Theomedon","Cnidos","Piraeus"
"2","Theomedon",NA,"Athenae"
"3","Xenophon","Athenae","Hellas"
"4","Xenophon",NA,"Asia"
"5","Xenophon",NA,"Corinth"
"6","Xenophon",NA,"Elis"
"7","Xenophon",NA,"Skillous"
"8","Xenophon",NA,"Lepreum"
"9","Xenophon",NA,"Delium"
"10","Xenophon",NA,"Pontus"
"11","Antigonus III","Macedonia","Athenae"
"12","Xenocrates","Chalcedon","Academy of Plato (Athens)"
"13","Xenocrates",NA,"Sicily"
"14","Menedemus","Eretria","Elis"
"15","Menedemus",NA,"Megara (Attica)"
"16","Menedemus",NA,"Amphiareion"
"17","Menedemus",NA,"Oropus"
"18","Thales","Phoenicia","Ancient Egypt (region)"
"19","Thales","Miletus","Creta"
"20","Thales",NA,"Athenae"
"21","Epicharmus","Kos","Megara (Attica)"
"22","Epicharmus",NA,"Syracuse"
"23","Epicharmus",NA,"Megara Hyblaea"
"24","Epicharmus",NA,"Sicily"
"25","Democritus","Miletus","Persia"
"26","Democritus","Abdera","Ancient Egypt (region)"
"27","Democritus",NA,"India"
"28","Democritus",NA,"Red Sea"
"29","Democritus",NA,"Aethiopia"
"30","Aristippus","Cyrene","Megara (Attica)"
"31","Aristippus",NA,"Corinth"
"32","Aristippus",NA,"Athenae"
"33","Aristippus",NA,"Asia"
"34","Solon","Salamis","Creta"
"35","Solon",NA,"Cilicia"
"36","Solon",NA,"Athenae"
"37","Solon",NA,"Cyprus"
"38","Solon",NA,"Ancient Egypt (region)"
"39","Nileos","Phoenicia","Miletus"
"40","Xenophanes","Colophon","Zancle"
"41","Xenophanes",NA,"Elea"
"42","Xenophanes",NA,"Katane"
"43","Carcinus","Athenae","Syracuse"
"44","Pyrrho","Elis","India"
"45","Pyrrho",NA,"Alpheios river"
"46","Pythagoras","Samos","Nestos (river)"
"47","Pythagoras",NA,"Ancient Egypt (region)"
"48","Pythagoras",NA,"Italy"
"49","Pythagoras",NA,"Creta"
"50","Pythagoras",NA,"Crotone"
"51","Pythagoras",NA,"Hades (Place)"
"52","Pythagoras",NA,"Metapontum"
"53","Pythagoras",NA,"Ida"
"54","Pythagoras",NA,"Delos"
"55","Pythagoras",NA,"Lesbos"
"56","Bion","Borysthenes (Olbia)","Athenae"
"57","Bion",NA,"Rhodos (island)"
"58","Theodorus","Cyrene","Corinth"
"59","Theodorus",NA,"Athenae"
"60","Aristotle","Stagira","Borboros"
"61","Aristotle",NA,"Chalcis"
"62","Aristotle",NA,"Macedonia"
"63","Aristotle",NA,"Athenae"
"64","Aristotle",NA,"Lyceum (Athens)"
"65","Aristotle",NA,"Academy of Plato (Athens)"
"66","Aristotle",NA,"Mitylene"
"67","Diodorus V","Athenae","Corinth"
"68","Diodorus V",NA,"Lepreum"
"69","Diodorus V",NA,"Skillous"
"70","Protagoras","Abdera","Sicily"
"71","Protagoras",NA,"Athenae"
"72","Socrates","Athenae","Samos"
"73","Socrates",NA,"Phthia"
"74","Socrates",NA,"Amphipolis"
"75","Socrates",NA,"Delphi"
"76","Socrates",NA,"Potidaea"
"77","Socrates",NA,"Isthmus"
"78","Socrates",NA,"Delium"
"79","Crates XII",NA,"Hellas"
"80","Eudoxus","Cnidos","Piraeus"
"81","Eudoxus",NA,"Cyzicus"
"82","Eudoxus",NA,"Propontis"
"83","Eudoxus",NA,"Ancient Egypt (region)"
"84","Eudoxus",NA,"Memphis (Egypt)"
"85","Eudoxus",NA,"Athenae"
"86","Arcesilaus","Aeolis","Athenae"
"87","Arcesilaus","Pitane","Demetrias (Magnesia)"
"88","Arcesilaus",NA,"Sardis"
"89","Cleanthes","Assos","Athenae"
"90","Hesiod",NA,"Hades (Place)"
"91","Asclepiades","Phlius","Elis"
"92","Asclepiades",NA,"Eretria"
"93","Pherecydes","Syros","Olympian Zeus sanctuary (Eleia)"
"94","Pherecydes",NA,"Messene"
"95","Pherecydes",NA,"Delos"
"96","Pherecydes",NA,"Samos"
"97","Pherecydes",NA,"Delphi"
"98","A Magician","Syria","Athenae"
"99","Aeschines","Athenae","Syracuse"
"100","Aeschines",NA,"Sicily"
"101","Aeschines",NA,"Megara (Attica)"
"102","Plato","Athenae","Academy of Plato (Athens)"
"103","Plato",NA,"Sicily"
"104","Empedocles","Sicily","Peloponnesus"
"105","Empedocles","Agrigentum","Olympian Zeus sanctuary (Eleia)"
"106","Empedocles",NA,"Aetna M."
"107","Empedocles",NA,"Thurii"
"108","Empedocles",NA,"Messene"
"109","Empedocles",NA,"Hades (Place)"
"110","Empedocles",NA,"Syracuse"
"111","Clitomachus","Carthago","Athenae"
"112","Anaxagoras","Clazomenae","Halicarnassus"
"113","Anaxagoras",NA,"Athenae"
"114","Anaxagoras",NA,"Lampsacus"
"115","Anaxagoras",NA,"Ionia region (Asia Minor)"
"116","Anaxagoras",NA,"Olympian Zeus sanctuary (Eleia)"
"117","Stilpo","Megara (Attica)","Aegina"
"118","Stilpo",NA,"Athenae"
"119","Anaxarchus","Abdera","Cyprus"
"120","Demetrius XXVIII","Macedonia","Cyrene"
"121","Epaminondas","Thebes","Mantinea"
"122","Chrysippus","Soli","Ancient Egypt (region)"
"123","Chrysippus","Tarsus",NA
"124","Demosthenes","Athenae","Calauria"
"125","Anytus","Athenae","Heraclea"
"126","Hermotimus",NA,"Didyma/Branchidai/Ioustinianopolis"
"127","Gryllus II","Athenae","Mantinea"
"128","Gryllus II",NA,"Corinth"
"129","Gryllus II",NA,"Lepreum"
"130","Archytas","Taras/Tarentum/Neptunia","Lucania"
"131","Crantor","Soli","Athenae"
"132","Demetrius","Magnesia","Athenae"
"133","Demetrius","Phalerum","Alexandria at Egypt"
"134","Agesilaus","Sparta","Hellas"
"135","Zeno II","Cyprus","Piraeus"
"136","Zeno II","Kition (Cyprus)","Athenae"
"137","Zeno II","Phoenicia",NA
"138","Lycophron",NA,"Corcyra"
"139","Speusippus","Athenae","Macedonia"
"140","Alexinus","Elis","Olympian Zeus sanctuary (Eleia)"
"141","Pylades II","Pitane","Chios (island)"
"142","Pylades II",NA,"Athenae"
"143","Agrigentines","Agrigentum","Taras/Tarentum/Neptunia"
"144","Homer",NA,"Hades (Place)"
"145","Hegesilaus",NA,"Mantinea"
"146","Epimenides","Cnossos","Ida"
"147","Epimenides","Creta","Athenae"
"148","Diodorus","Iasos","Alexandria at Egypt"
"149","Archelaus","Athenae","Samos"
"150","Archelaus","Miletus",NA
"151","Anacharsis","Skythai","Athenae"
"152","Anacharsis",NA,"Sardis"
"153","Autolycus","Pitane","Sardis"
"154","Lysis II","Taras/Tarentum/Neptunia","Thebes"
"155","Sphaerus","Bosporus","Alexandria at Egypt"
"156","Hierocles","Caria","Piraeus"
"157","Hierocles",NA,"Amphiareion"
"158","Hierocles",NA,"Munichia"
"159","Chilon","Lacedaemon/Laconia","Pisa"
"160","Hippocrates II",NA,"Olympian Zeus sanctuary (Eleia)"
"161","Alcibiades","Athenae","Potidaea"
"162","Metrocles","Maronea","Corinth"
"163","Antigonus","Carystus","Lysimachia"
"164","Cephisodorus","Athenae","Mantinea"
"165","Proxenus","Boeotia","Sardis"
"166","Philesia","Athenae","Elis"
"167","Heraclides","Pontus","Athenae"
"168","Heraclides","Heraclea",NA
"169","Eudoxus III","Sicily","Athenae"
